invtun;lohy-lohx;koeala;kuvio;kunta;koealankorkeus;lamposumma;framaa;maaluokka;entinenmaaluokka;paatyyppi;kasvupaikkat;kasvuplisa;suotyy;turvekangas;ojitustilanne;tehtyojitus;ojitusaika;ojitustarve;ojienkunto;veroluokka;veroluokkatarkennus;orgkerroslaatu;orgkerrospaksuus;maalaji;raekoko;maaperanpaksuus;jaksoja;kehitysluokka;vallitsevapl;ppa;runkoluku;keskilpm;keskipituus;rinnankorkeusika;alikasvoskehitysluokka;alikasvospl;alikasvosppa;ylispuutkehitysluokka;ylispuutpl;ylispuutppa;maanpinnankasittely;viljely;muutoimenpide;maanpinnankasittelyehdotus;maanpinnankasittelyaika;viljelyaika;muutoimenpideaika
P;544-66;1;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;2;1;;;;;1;0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;3;1;;;;;1;1;;0;5;1;2;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;4;1;;;;;1;1;;1;5;1;6;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;5;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;6;2;420;1145;1191;1;1;0;2;1;0;;1;4;4;50;0;3;0;0;4;80;0;0;3;1;6;3;16;;23;222;;;;;;;;0;0;0;4;;;
P;544-66;7;1;420;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;9;1;420;1033;1200;1;1;0;1;2;0;;;0;0;;0;;0;0;1;3;3;2;3;1;6;1;22;;37;235;;;;;;;;0;0;4;1;;;2
P;544-66;10;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-66;15;1;420;1088;1198;1;1;0;1;3;0;;;0;0;;0;;1;0;1;3;3;2;2;1;3;2;1;1350;2;22;;;;;;;;0;0;0;0;;;
P;544-66;16;1;420;1173;1191;1;1;0;1;3;0;;;0;0;;0;;2;1;1;2;3;2;2;1;2;1;0;2000;;7;;;;;;;;1;2;0;0;3;3;
P;544-66;18;1;420;1046;1199;1;1;0;1;1;0;;;0;0;;0;;0;0;3;6;3;1;3;1;5;3;17;;24;238;;;;;;;;0;0;0;0;;;
P;544-70;1;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;2;1;420;;;3;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;3;1;;;;;1;4;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;4;1;420;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;8;1;;;;;1;2;;4;5;1;5;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;9;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;10;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;15;1;;;;;1;2;;7;0;1;7;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;16;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;17;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;18;1;;;;;1;1;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-70;1;1;686;1123;1156;1;1;0;1;2;0;;;0;0;;0;;0;0;1;4;3;1;3;1;4;2;25;;14;132;;;;;;;;0;1;0;0;;;
P;546-62;2;1;;;;;1;3;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;3;1;;;;;1;4;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;4;1;686;1213;1150;1;1;0;1;2;0;;;1;3;30;0;3;0;0;1;4;3;2;3;1;5;2;24;;17;167;;;;;;;;0;0;0;0;;;
P;546-62;4;2;;;;;1;3;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;5;1;;;;;1;4;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;6;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;7;1;;;;;1;1;;8;5;1;1;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;8;1;;;;;1;1;;8;5;3;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;9;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;10;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;15;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;16;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;17;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;546-62;3;1;638;243;1334;1;1;0;1;4;0;;;0;0;;0;;2;0;1;4;3;2;3;1;4;1;11;;13;90;;;;;;;;1;2;0;0;;;
